X,Y,SurveyDate,CrownSpCom,LadderSpCo,DepthOrgan,SurfaceFCo,DeadandDow,Ladderfuel,Ladderfu_1,StemPerha_,Overstoryc,CrownClosu,FuelStrata,StemPerha1,DeadandDyi,Pest,FuelType,CreationDa,EditDate,Ladderclos,Health,FuelType_c,Health_Imp
-122.069591574193,52.1877608486998,2019/07/23,60,10,5 - <10,Pinegrass,Scattered,Mixwood,Sparse,501-1000,Mixwood50,20 - 40%,3 - 6,401 - 600,<20%,Down_surfacecontact,M2,2019/07/23,2019/07/23,,,,
-127.633083362554,55.3530155269586,2019/07/24,80,50,2 - <5,Moss,Scattered,Sprucefirpine,Scattered,1001-2000,Conifermod,20 - 40%,<3,901 - 1200,<20%,Down_surfacecontact,C4,2019/07/24,2019/07/24,,,,
-127.149748373267,54.7882988249274,2019/07/30,25,30,1 - <2,Moss,Scattered,Sprucefirpine,Scattered,501-1000,Mixwood50,20 - 40%,3 - 6,901 - 1200,<20%,Down_surfacecontact,M2,2019/07/30,2019/07/30,,,,
-127.263852668163,54.8294770690229,2019/07/30,75,5,5 - <10,Moss,10-25%,Mixwood,Sparse,<500,Conifermod,71 - 90%,3 - 6,<400,<20%,Foliage,C5,2019/07/30,2019/07/30,,,,
-119.444033054364,49.1904416405811,2019/08/09,20,20,1 - <2,Deadfines,Scattered,Sprucefirpine,Patchy,501-1000,Coniferlow,20 - 40%,<3,401 - 600,<20%,Down_surfacecontact,C7,2019/08/09,2019/08/09,,,,
-124.3114133,49.3022122,2019/08/28,0,0,2 - <5,Moss,10-25,Decidious,Absent,<500,Coniferhigh,71 - 90,6 - 9,601 - 900,<20,Absent,C5,2019/08/28,2019/08/28,<20,,,
-124.313729544118,49.3008462910806,2019/08/28,0,0,2 - <5,Deadfines,26-50,Otherconifer,Scattered,1001-2000,Coniferlow,41 - 70,<3,401 - 600,21 - 50,Absent,C3,2019/08/28,2019/08/28,20 - 40,,,
-124.271461835125,49.2947983473456,2019/08/28,0,0,1 - <2,Moss,10-25,Mixwood,Sparse,<500,Mixwood50,71 - 90,3 - 6,601 - 900,<20,Absent,M2,2019/08/28,2019/08/28,20 - 40,,,
-119.510908155122,49.2018508189591,2019/08/18,25,7,1 - <2,Pinegrass,Scattered,Sprucefirpine,Sparse,<500,Coniferlow,<20%,<3,<400,<20%,Absent,C7,2019/09/18,2019/09/18,,None,,
-124.03151898,49.14296549,2019/09/19,0,0,2 - <5,Absent,10-25,Otherconifer,Sparse,1001-2000,Conifermod,20 - 40,<3,901 - 1200,<20,,CoastalC5,2019/09/19,2019/09/19,<20,Climate_stress,,Down_surfacecontact
-122.121487492695,52.1235917508602,2019/09/21,0,0,5 - <10,Pinegrass,Absent,Decidious,Sparse,<500,Deciduous,<20,3 - 6,<400,<20,,D1,2019/09/21,2019/09/21,<20,None,Lake side WL,
-125.189251145465,52.3441846669208,2019/09/24,0,0,5 - <10,Deadfines,>50,Sprucefirpine,Patchy,501-1000,Coniferlow,41 - 70,>10,601 - 900,51 - 75,,C3,2019/09/25,2019/09/25,71 - 90,Insect,Spruce;dead pine ;juniper;some juvenile aspen;pine needles;moss,Down_elevated
-125.207172827912,52.3481106665473,2019/09/24,0,0,1 - <2,Deadfines,26-50,Elevateddead,Patchy,1001-2000,Coniferlow,<20,<3,<400,>75,,C3,2019/09/25,2019/09/25,41 - 70,Disease,Misiltoed stems ;dead pine;blowdown;,Down_elevated
-124.602008387562,51.907138321597,2019/09/23,0,0,2 - <5,Deadfines,26-50,Elevateddead,Patchy,501-1000,Coniferlow,<20,<3,<400,<20,,C4,2019/09/25,2019/09/25,20 - 40,Disease,Suppressed Pine and mistletoe,
-122.537372736278,50.333240890035,2019/09/26,0,0,10 - <20,Lichen,Scattered,Elevateddead,Scattered,>3000,Coniferhigh,41 - 70,6 - 9,>1200,<20,,Unclassified,2019/09/26,2019/09/26,20 - 40,None,Fir Hemlock cedar mid elevation stand,
-122.701842673237,52.9805851495387,2019/10/23,0,0,5 - <10,Deadfines,26-50,Elevateddead,Patchy,501-1000,Mixwood75,<20,<3,401 - 600,<20,,C3,2019/10/25,2019/10/25,71 - 90,None,,Down_elevated
-122.583910636718,52.9430311639355,2019/10/23,0,0,5 - <10,Moss,Scattered,Mixwood,Scattered,<500,Deciduous,<20,<3,401 - 600,<20,,C6,2019/10/25,2019/10/25,20 - 40,None,,
-122.437632680053,52.9886616580682,2019/10/31,0,0,2 - <5,Moss,10-25,Mixwood,Patchy,1001-2000,Mixwood50,20 - 40,3 - 6,901 - 1200,<20,,M2,2019/10/31,2019/10/31,71 - 90,None,,
0,0,2019/11/07,0,0,2 - <5,Moss,10-25,Decidious,Sparse,<500,Coniferlow,20 - 40,<3,<400,<20,,C7,2019/11/07,2019/11/07,<20,None,,
-124.637186061707,51.9066860341019,2019/11/15,0,0,2 - <5,Deadfines,10-25,Elevateddead,Patchy,>3000,Coniferlow,20 - 40,<3,>1200,<20,,C4,2019/11/17,2019/11/17,41 - 70,None,Repressed pine stand  some mistletoe present,
-122.512618275473,52.562427255374,2019/11/19,0,0,2 - <5,Deadfines,26-50,Sprucefirpine,Patchy,1001-2000,Mixwood25,41 - 70,<3,>1200,21 - 50,,C7,2019/11/19,2019/11/19,41 - 70,Climate_stress,,Down_elevated
-121.981176106188,49.0793156630589,2020/03/12,0,0,5 - <10,Moss,Scattered,Otherconifer,Scattered,<500,Coniferhigh,41 - 70,6 - 9,<400,<20,,CoastalC5,2020/03/12,2020/03/12,20 - 40,Disease,,Foliage
-121.981083825231,49.0793677512556,2020/03/12,0,0,5 - <10,Moss,Scattered,Otherconifer,Scattered,<500,Coniferhigh,41 - 70,6 - 9,<400,<20,,CoastalC5,2020/03/12,2020/03/12,20 - 40,None,Large helmlock;  cedar;  OG douglas fir. With moss and ferns for grou d cover. Small deciduous % mixed in,
-121.981077874079,49.0794159891084,2020/03/12,0,0,10 - <20,Moss,Scattered,Otherconifer,Scattered,<500,Mixwood75,20 - 40,6 - 9,<400,<20,,CoastalC5,2020/03/12,2020/03/12,20 - 40,None,,
-121.603515713482,49.2439296271375,2020/03/30,0,0,5 - <10,Deadfines,26-50,Otherconifer,Sparse,501-1000,Mixwood75,41 - 70,3 - 6,401 - 600,21 - 50,,CoastalC5,2020/03/31,2020/03/31,20 - 40,None,,Down_elevated
-121.810257273386,49.082180496058,2020/03/30,0,0,2 - <5,Deadfines,26-50,Mixwood,Patchy,501-1000,Mixwood50,41 - 70,3 - 6,401 - 600,21 - 50,,CoastalC5,2020/03/31,2020/03/31,41 - 70,Disease,,Down_elevated
-121.973718255611,49.319615399263,2020/03/30,0,0,1 - <2,Moss,10-25,Mixwood,Scattered,<500,Mixwood50,<20,3 - 6,<400,<20,,M2,2020/03/31,2020/03/31,20 - 40,Climate_stress,Chehalis FSR km 9,Defoliated_standing
-124.004222114828,54.0813277916786,2020/05/01,0,0,2 - <5,Lichen,Scattered,Absent,Sparse,<500,Absent,<20,>10,<400,<20,,S2,2020/05/01,2020/05/01,<20,None,Logged area that has had dispersed piling,Down_surfacecontact
-122.743070693245,50.3489062787452,2020/05/15,0,0,2 - <5,Moss,Scattered,Absent,Sparse,501-1000,Coniferhigh,20 - 40,3 - 6,601 - 900,<20,,C5,2020/05/15,2020/05/15,<20,Climate_stress,Typical for south and west facing slopes in Pemberton area. Rocky slope coverd in lichen. 40-50 year old stand. Mostly Fd.,Defoliated_standing
-121.379024712369,49.8489497182891,2020/05/22,0,0,2 - <5,Deadfines,10-25,Mixwood,Scattered,501-1000,Mixwood75,41 - 70,3 - 6,>1200,<20,,M1,2020/05/22,2020/05/22,20 - 40,Climate_stress,5+ conifer species & 2+ deciduous 75% conifer,Foliage
0,0,2020/06/01,0,0,2 - <5,Moss,10-25,Elevateddead,Scattered,1001-2000,Coniferhigh,41 - 70,3 - 6,901 - 1200,<20,,C5,2020/06/02,2020/06/02,20 - 40,Disease,Mix of douglas fir; cedar;hemlock and birch,Down_elevated
-121.398879881707,49.0257016991993,2020/06/10,0,0,10 - <20,Moss,26-50,Mixwood,Scattered,1001-2000,Mixwood25,41 - 70,3 - 6,601 - 900,<20,,M2,2020/06/17,2020/06/17,41 - 70,Disease,,Down_elevated
-121.451806110808,49.0882985137167,2020/06/10,0,0,2 - <5,Deadfines,10-25,Otherconifer,Scattered,<500,Mixwood50,20 - 40,3 - 6,401 - 600,21 - 50,,M2,2020/06/17,2020/06/17,20 - 40,None,,Down_surfacecontact
-121.756811556365,49.9901905171664,2020/06/22,0,0,1 - <2,Moss,10-25,Sprucefirpine,Sparse,<500,Conifermod,<20,3 - 6,401 - 600,51 - 75,,C3,2020/06/23,2020/06/23,<20,Insect,,Defoliated_standing
0,0,2020/07/15,0,0,1 - <2,Moss,Scattered,Mixwood,Sparse,<500,Absent,<20,6 - 9,<400,<20,,C7,2020/07/15,2020/07/15,<20,None,,Foliage
-129.232049633822,59.8749345668186,2020/07/28,0,0,2 - <5,Deadfines,10-25,Elevateddead,Patchy,<500,Coniferhigh,<20,>10,<400,<20,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn. Fire 93.,
-129.217140417838,59.878115021502,2020/07/28,0,0,1 - <2,Deadfines,26-50,Elevateddead,Uniform,<500,Coniferlow,<20,6 - 9,<400,>75,,Unclassified,2020/08/04,2020/08/04,41 - 70,None,2009 fire 93.  Also deciduous understory. Willow. ,
-129.208217801863,59.8744450023147,2020/07/28,0,0,2 - <5,Deadfines,>50,Elevateddead,Patchy,<500,Coniferlow,<20,3 - 6,<400,51 - 75,,Unclassified,2020/08/04,2020/08/04,41 - 70,None,2009 burn,
-129.186842348758,59.8761266332056,2020/07/28,0,0,1 - <2,Lichen,Scattered,Absent,Absent,>3000,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn pine regen,
-129.153091336271,59.8619639120898,2020/07/28,0,0,1 - <2,Deadfines,Scattered,Sprucefirpine,Sparse,<500,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009  burn patchy down material and willow. Not a big threat.,
-129.13429868765,59.8330508957679,2020/07/28,0,0,1 - <2,Moss,Scattered,Elevateddead,Sparse,<500,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn,
-129.134190797786,59.831455653273,2020/07/28,0,0,1 - <2,Moss,Scattered,Mixwood,Sparse,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn. Grass being overgrown by deciduous shrubs and scattered Pl regen.,
-129.127390128277,59.7781816303507,2020/07/28,0,0,1 - <2,Moss,Absent,Sprucefirpine,Scattered,501-1000,Coniferhigh,<20,>10,<400,<20,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Fire 93. 2009. Premium site. Pine/spruce and aspen natural regen is 100% larger than other sites,
-129.105765930781,59.7361927558864,2020/07/29,0,0,2 - <5,Pinegrass,Scattered,Decidious,Patchy,501-1000,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,Insect,Grass is the dominant ground cover that will carry fire. Crown fire not possible.,Foliage
-131.1842058462,57.897328797967,2020/07/29,0,0,1 - <2,Pinegrass,Absent,Absent,Absent,<500,Absent,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Sparse uncured stand grass but not representative of o1b. In old burn with sparse burned juniper shrub,
-131.183264044542,57.8998773487653,2020/07/29,0,0,1 - <2,Absent,Absent,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,C3 stand that burned clean in alkali lake fire. All decidious regen.,
-131.166753671398,57.9127358644577,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Decidious stand fully burned. All decidious regen.,
-131.226219916951,57.9065289069853,2020/07/29,0,0,1 - <2,Moss,Scattered,Elevateddead,Sparse,<500,Coniferlow,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Mixed conifer stand burned. Do we want to count regen composition as understory? Regen all decidious,
-131.255481163861,57.8825318359949,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Decidious. No crown fire potential,
-131.186903535486,57.8977855455822,2020/07/29,0,0,1 - <2,Absent,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Mixed wood pine/aspen stand in 2018 burn. Fireweed and aspen regen,
-130.906438280106,58.0445452952263,2020/07/30,0,0,1 - <2,Moss,Absent,Absent,Absent,<500,Absent,<20,>10,<400,51 - 75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Former c7 stand with fireweed and grass regen. No tenure potential.,
-130.953344278182,58.0636002024624,2020/07/30,0,0,1 - <2,Moss,Absent,Absent,Absent,<500,Absent,<20,<3,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Former spruce/aspen thicket stand. No tenure potential. Regen fireweed and aspen,
-130.998497820838,58.0856713976024,2020/07/30,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Scorched pine stand with aspen and willow regen. No tenure potential.,
-131.0024134572,58.0872643680853,2020/07/30,0,0,1 - <2,Moss,10-25,Absent,Absent,<500,Absent,<20,<3,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn in blowdown area. Blowdown isnâ€™t continuous enough to carry fire. Regen is fireweed.,
-131.103511021681,58.0985242360889,2020/07/30,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Previously D2 fuel type with scattered pine. Patchy burn with some of the aspen still alive. Regen is all aspen and grass.,
-131.141854837545,58.0942990228526,2020/07/30,0,0,1 - <2,Absent,Absent,Absent,Absent,<500,Absent,<20,<3,<400,<20,,O1,2020/08/04,2020/08/04,<20,None,Sparse sagebrush and grass along hillside. Standing grass.,
-131.15341396798,58.0935350605011,2020/07/30,0,0,1 - <2,Pinegrass,Scattered,Absent,Absent,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Previously a M2 25%. Regen is dense fireweed and grass in patches,
-130.786934533383,58.078222857996,2020/07/29,0,0,1 - <2,Deadfines,10-25,Elevateddead,Scattered,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Old burn. Former m2 50% conifer. Windfall area with lots of dead and down.,
-131.016909283557,57.9994090339727,2020/07/29,0,0,1 - <2,Pinegrass,Absent,Absent,Absent,<500,Absent,<20,<3,<400,<20,,O1,2020/08/04,2020/08/04,,None,Standing grass.,
-131.084784049067,57.9648351253822,2020/07/29,0,0,2 - <5,Deadfines,Scattered,Absent,Absent,<500,Deciduous,20 - 40,>10,901 - 1200,<20,,D1,2020/08/04,2020/08/04,<20,None,Green aspen stand. Unburned,
-131.085703650859,57.9649870003962,2020/07/29,0,0,1 - <2,Moss,10-25,Elevateddead,Patchy,<500,Absent,<20,>10,>1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,D2 stand burned in 2018. Regen is all fireweed and aspen.,
-131.101657110767,57.9363745626558,2020/07/29,0,0,1 - <2,Moss,Scattered,Elevateddead,Scattered,501-1000,Absent,<20,<3,>1200,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Burned C3/C4 stand from surface fire. Regen is sparse.,
-131.125631744031,57.9156512571252,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,,None,Burned c3 stand. Regen is mostly fireweed and aspen with pine saplings.,
